現チーム,選手名,SS,守備,年齢,生年月日,身長,体重,血液型,投打,出身地,外国人,地域,2020年打席あり,2019年打席あり,2018年打席あり,2020打率,2020試合,2020打席数,2020打数,2020得点,2020安打,2020二塁打,2020三塁打,2020本塁打,2020塁打,2020打点,2020盗塁,2020盗塁刺,2020犠打,2020犠飛,2020四球,2020敬遠,2020死球,2020三振,2020併殺打,2020出塁率,2020長打率,2019打率,2019試合,2019打席数,2019打数,2019得点,2019安打,2019二塁打,2019三塁打,2019本塁打,2019塁打,2019打点,2019盗塁,2019盗塁刺,2019犠打,2019犠飛,2019四球,2019敬遠,2019死球,2019三振,2019併殺打,2019出塁率,2019長打率,2018打率,2018試合,2018打席数,2018打数,2018得点,2018安打,2018二塁打,2018三塁打,2018本塁打,2018塁打,2018打点,2018盗塁,2018盗塁刺,2018犠打,2018犠飛,2018四球,2018敬遠,2018死球,2018三振,2018併殺打,2018出塁率,2018長打率
横浜,嶺井　博希,0.0,捕手,29,1991/6/4,175,85,B,右右,沖縄,0,九州・沖縄,1,1,1,0.327,41,60,55,2,18,3,0,0,21,8,0,0,0,0,4,0,1,14,1,0.383,0.382,0.211,64,130,114,13,24,4,1,2,36,12,0,0,5,0,7,0,4,23,5,0.28,0.316,0.177,91,230,209,10,37,7,0,5,59,25,0,0,6,1,6,2,8,56,9,0.228,0.282
横浜,田中　俊太,0.0,内野手,27,1993/8/18,178,82,O,右左,神奈川,0,関東,1,1,1,0.265,48,78,68,7,18,2,1,1,25,6,2,0,0,1,8,1,1,15,0,0.346,0.368,0.224,62,176,156,17,35,7,0,4,54,14,2,0,4,2,14,0,0,36,2,0.285,0.346,0.241,99,261,228,20,55,6,3,2,73,12,6,0,10,0,23,0,0,41,7,0.311,0.32
横浜,楠本　泰史,0.0,外野手,25,1995/7/7,180,82,A,右左,大阪,0,関西,1,1,1,0.154,28,29,26,6,4,2,0,1,9,1,0,0,0,0,2,0,1,7,0,0.241,0.346,0.208,39,81,72,6,15,4,0,1,22,6,0,2,0,0,7,0,2,19,1,0.296,0.306,0.205,56,82,73,4,15,3,0,0,18,2,2,1,0,0,6,0,3,19,0,0.293,0.247
横浜,牧　秀悟,0.0,内野手,22,1998/4/21,178,93,O,右右,長野,0,中部,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
横浜,髙城　俊人,0.0,捕手,27,1993/5/3,176,83,AB,右右,福岡,0,九州・沖縄,1,1,1,0.19,23,46,42,4,8,0,0,3,17,5,0,0,1,0,2,0,1,22,1,0.244,0.405,0.182,5,12,11,1,2,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0.25,0.182,0.136,28,75,66,7,9,1,0,0,10,3,2,0,4,1,2,0,2,25,1,0.183,0.152
横浜,山下　幸輝,0.0,内野手,28,1993/1/31,174,85,B,右左,千葉,0,関東,1,0,1,0.209,39,46,43,2,9,2,0,0,11,1,0,0,0,0,3,0,0,7,1,0.261,0.256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.222,21,65,63,3,14,2,0,1,19,3,1,0,2,0,0,0,0,13,1,0.222,0.302
横浜,森　敬斗,0.0,内野手,19,2002/1/28,175,78,A,右左,静岡,0,中部,1,0,0,0.25,8,12,12,3,3,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0.25,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
横浜,関根　大気,0.0,外野手,25,1995/6/28,173,78,A,左左,愛知,0,中部,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.038,32,27,26,2,1,1,0,0,2,0,0,0,0,0,1,0,0,6,1,0.074,0.077,0.28,29,26,25,4,7,2,1,0,11,3,2,2,1,0,0,0,0,6,0,0.28,0.44
横浜,細川　成也,0.0,外野手,22,1998/8/4,179,93,AB,右右,神奈川,0,関東,1,1,1,0.235,19,54,51,6,12,2,0,1,17,1,1,0,0,0,2,0,1,20,1,0.278,0.333,0.222,36,83,72,9,16,2,0,1,21,10,0,0,0,1,8,0,2,24,1,0.313,0.292,0.222,11,22,18,2,4,1,0,1,8,2,0,0,0,0,3,0,1,11,0,0.364,0.444
横浜,宮本　秀明,0.0,外野手,24,1996/7/24,178,82,O,右左,熊本,0,九州・沖縄,1,1,1,0.4,6,5,5,1,2,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0.4,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,21,25,25,6,4,0,0,2,10,2,4,1,0,0,0,0,0,8,1,0.16,0.4
横浜,東妻　純平,0.0,捕手,19,2001/7/3,172,81,AB,右右,和歌山,0,関西,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
横浜,知野　直人,0.0,内野手,22,1999/2/16,182,85,A,右右,新潟,0,中部,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
横浜,山本　祐大,0.0,捕手,22,1998/9/11,180,87,A,右右,大阪,0,関西,1,1,1,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333,13,12,12,0,4,0,0,0,4,2,0,0,0,0,0,0,0,3,0,0.333,0.333,1,2,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1,4
横浜,益子　京右,0.0,捕手,20,2000/12/27,176,86,A,右右,栃木,0,関東,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
横浜,田部　隼人,0.0,内野手,19,2001/12/22,185,83,O,右右,島根,0,中国,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
横浜,デラロサ,0.0,内野手,25,1996/1/24,188,92,,右両,ドミニカ共和国,1,海外,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中日,ビシエド,1.0,内野手,32,1989/3/10,185,108,,右右,キューバ,1,海外,1,1,1,0.267,109,462,409,48,109,23,0,17,183,82,3,2,0,10,34,3,9,48,17,0.329,0.447,0.315,143,594,534,56,168,43,0,18,265,93,2,1,0,6,41,9,13,88,22,0.374,0.496,0.348,135,582,512,91,178,26,1,26,284,99,3,4,0,4,51,4,15,61,24,0.419,0.555
中日,平田　良介,1.0,外野手,33,1988/3/23,177,87,B,右右,大阪,0,関西,1,1,1,0.235,55,193,166,26,39,7,0,3,55,17,0,1,0,1,24,2,2,33,4,0.337,0.331,0.278,95,407,360,52,100,21,4,8,153,32,3,6,1,4,38,2,4,53,8,0.35,0.425,0.329,138,568,493,83,162,26,5,9,225,55,8,7,2,3,67,4,3,69,7,0.41,0.456
中日,大野　奨太,1.0,捕手,34,1987/1/13,177,78,O,右右,岐阜,0,中部,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,34,62,53,6,9,1,0,0,10,3,0,0,3,1,5,0,0,9,2,0.237,0.189,0.197,63,167,137,9,27,4,2,2,41,10,0,0,9,0,20,2,1,31,2,0.304,0.299
中日,高橋　周平,1.0,内野手,27,1994/1/18,180,85,O,右左,神奈川,0,関東,1,1,1,0.305,108,438,394,46,120,25,1,7,168,46,1,1,0,3,39,6,2,70,13,0.368,0.426,0.293,117,471,430,50,126,28,5,7,185,59,3,4,5,1,32,7,3,70,10,0.345,0.43,0.254,128,477,433,35,110,26,2,11,173,69,0,0,8,3,30,1,3,89,9,0.305,0.4
中日,京田　陽太,1.0,内野手,26,1994/4/20,184,88,O,右左,石川,0,中部,1,1,1,0.247,120,491,442,43,109,16,7,5,154,29,8,4,15,1,27,4,6,80,4,0.298,0.348,0.249,140,574,507,46,126,14,5,3,159,40,17,7,24,3,37,3,3,91,10,0.302,0.314,0.235,143,632,578,73,136,15,7,4,177,44,20,10,26,3,19,0,6,111,12,0.266,0.306
中日,ガーバー,1.0,外野手,28,1992/7/8,183,86,,右左,アメリカ,1,海外,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中日,阿部　寿樹,0.0,内野手,31,1989/12/3,185,80,B,右右,岩手,0,東北,1,1,1,0.257,115,459,421,44,108,25,0,13,172,61,2,4,5,2,30,0,1,92,21,0.306,0.409,0.291,129,484,447,51,130,24,3,7,181,59,1,0,3,2,31,3,1,82,9,0.337,0.405,0.217,18,26,23,1,5,3,0,0,8,4,0,0,0,0,3,0,0,3,1,0.308,0.348
中日,藤井　淳志,0.0,外野手,39,1981/5/20,183,82,O,右両,愛知,0,中部,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.22,61,154,141,12,31,8,1,1,44,12,1,0,0,1,11,0,1,33,3,0.279,0.312,0.241,96,162,145,21,35,8,0,3,52,30,0,0,0,5,12,1,0,36,1,0.29,0.359
中日,堂上　直倫,0.0,内野手,32,1988/9/23,184,86,O,右右,愛知,0,中部,1,1,1,0.2,43,55,50,2,10,2,0,0,12,4,0,1,0,1,4,0,0,11,2,0.255,0.24,0.212,98,217,193,25,41,9,0,12,86,39,1,0,11,0,13,0,0,56,4,0.262,0.446,0.213,74,56,47,3,10,0,0,0,10,6,0,0,2,2,3,0,2,9,2,0.278,0.213
中日,福留　孝介,0.0,外野手,43,1977/4/26,182,90,B,右左,鹿児島,0,九州・沖縄,1,1,1,0.154,43,92,78,3,12,2,0,1,17,12,0,0,0,3,11,0,0,31,4,0.25,0.218,0.256,104,403,348,39,89,16,1,10,137,47,0,0,2,3,49,1,1,85,5,0.347,0.394,0.28,123,499,414,57,116,26,2,14,188,72,2,1,0,7,73,2,5,90,10,0.389,0.454
中日,木下　拓哉,0.0,捕手,29,1991/12/18,183,92,B,右右,高知,0,四国,1,1,1,0.267,88,269,251,19,67,14,1,6,101,32,0,0,5,0,12,2,1,49,1,0.303,0.402,0.227,39,98,88,5,20,6,0,2,32,8,0,0,1,1,5,1,3,22,2,0.289,0.364,0.12,16,28,25,4,3,1,0,1,7,2,0,0,0,0,3,1,0,9,0,0.214,0.28
中日,武田　健吾,0.0,外野手,26,1994/4/18,183,85,O,右右,福岡,0,九州・沖縄,1,1,1,0.182,84,64,55,9,10,2,0,0,12,2,1,0,3,1,5,0,0,13,2,0.246,0.218,0.143,29,36,35,2,5,0,0,0,5,1,0,0,1,0,0,0,0,12,2,0.143,0.143,0.221,69,107,95,12,21,4,1,1,30,12,0,0,5,3,2,0,2,20,2,0.245,0.316
中日,加藤　匠馬,0.0,捕手,28,1992/4/29,175,76,B,右右,三重,0,関西,1,1,0,0.135,29,43,37,0,5,1,0,0,6,1,0,0,5,0,1,1,0,8,1,0.158,0.162,0.228,92,245,224,19,51,7,3,0,64,13,0,0,12,0,9,1,0,57,6,0.258,0.286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中日,遠藤　一星,0.0,外野手,32,1989/3/23,182,83,O,右左,東京,0,関東,1,1,1,0.219,65,87,73,16,16,1,0,0,17,4,0,1,4,1,6,0,3,12,1,0.301,0.233,0.27,108,120,111,22,30,4,2,2,44,11,4,4,2,0,5,0,2,28,1,0.314,0.396,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中日,井領　雅貴,0.0,外野手,31,1989/11/4,174,82,O,右左,千葉,0,関東,1,1,0,0.2,79,155,135,9,27,3,0,0,30,12,0,0,2,0,18,0,0,24,4,0.294,0.222,0.29,55,103,100,9,29,9,1,0,40,9,0,0,0,0,3,0,0,21,0,0.311,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中日,根尾　昂,0.0,内野手,20,2000/4/19,177,80,O,右左,岐阜,0,中部,1,1,0,0.087,9,25,23,3,2,0,0,0,2,0,0,0,0,0,2,0,0,7,0,0.16,0.087,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,
中日,郡司　裕也,0.0,捕手,23,1997/12/27,180,86,A,右右,千葉,0,関東,1,0,0,0.156,30,76,64,6,10,3,0,0,13,4,0,0,1,1,9,1,1,19,1,0.267,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中日,三好　大倫,0.0,外野手,23,1997/9/28,179,82,O,左左,香川,0,四国,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中日,石垣　雅海,0.0,内野手,22,1998/9/21,181,85,B,右右,山形,0,東北,1,1,0,0.121,25,34,33,5,4,0,0,1,7,1,0,0,0,0,1,0,0,12,0,0.147,0.212,0.133,15,15,15,1,2,2,0,0,4,1,0,0,0,0,0,0,0,7,0,0.133,0.267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中日,三ツ俣　大樹,0.0,内野手,28,1992/5/11,177,84,O,右右,東京,0,関東,1,1,0,0.167,8,6,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.167,0.167,0.111,21,33,27,2,3,2,0,0,5,0,0,0,2,0,4,0,0,6,1,0.226,0.185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中日,桂　依央利,0.0,捕手,29,1991/7/9,185,90,B,右右,大阪,0,関西,1,1,0,0.222,2,9,9,1,2,1,0,0,3,2,0,0,0,0,0,0,0,3,0,0.222,0.333,0.25,4,9,8,1,2,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0.25,0.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中日,石橋　康太,0.0,捕手,20,2000/12/7,180,87,A,右右,千葉,0,関東,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.059,12,18,17,0,1,0,1,0,3,2,0,0,0,0,0,0,1,8,0,0.111,0.176,,,,,,,,,,,,,,,,,,,,,,
中日,伊藤　康祐,0.0,外野手,21,2000/2/3,174,75,AB,右右,愛知,0,中部,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.188,14,33,32,6,6,1,0,0,7,1,0,0,1,0,0,0,0,8,0,0.188,0.219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中日,滝野　要,0.0,外野手,24,1996/7/8,185,76,B,右左,三重,0,関西,1,0,0,0.286,10,8,7,2,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0.375,0.286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
中日,山下　斐紹,0.0,捕手,28,1992/11/16,179,93,A,右左,北海道,0,北海道,1,1,1,0,8,8,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0.125,0,0.183,31,66,60,8,11,1,0,3,21,5,0,0,3,0,1,0,2,13,0,0.222,0.35,0.198,43,104,96,10,19,3,0,2,28,9,0,0,1,2,5,0,0,22,2,0.233,0.292
中日,岡林　勇希,0.0,外野手,19,2002/2/22,175,74,O,右左,三重,0,関西,1,0,0,0.286,6,7,7,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0.286,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中日,髙松　渡,0.0,内野手,21,1999/7/2,176,65,A,右左,兵庫,0,関西,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中日,石岡　諒太,0.0,内野手,28,1992/5/25,187,90,A,左左,兵庫,0,関西,0,0,0,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中日,ワカマツ,0.0,内野手,24,1996/10/10,190,93,,右両,アメリカ,1,海外,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巨人,丸　佳浩,1.0,外野手,31,1989/4/11,177,94,AB,右左,千葉,0,関東,1,1,1,0.284,120,491,423,63,120,31,1,27,234,77,8,4,3,2,63,4,0,101,3,0.375,0.553,0.292,143,631,535,82,156,26,1,27,265,89,12,5,0,7,86,3,3,125,15,0.388,0.495,0.306,125,566,432,109,132,22,0,39,271,97,10,10,0,1,130,8,3,130,5,0.468,0.627
巨人,スモーク,1.0,内野手,34,1986/12/5,193,99,不明,左両,アメリカ,1,海外,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巨人,陽　岱鋼,1.0,外野手,34,1987/1/17,184,89,A,右右,台湾,0,海外,1,1,1,0.238,38,77,63,12,15,1,0,1,19,6,1,0,0,2,9,1,3,21,1,0.351,0.302,0.274,110,231,208,28,57,8,1,4,79,21,0,1,0,0,22,0,1,66,9,0.346,0.38,0.245,87,276,253,24,62,12,2,10,108,37,2,2,3,1,17,1,2,72,7,0.297,0.427
巨人,岡本　和真,1.0,内野手,24,1996/6/30,185,96,A,右右,奈良,0,関西,1,1,1,0.275,118,500,440,79,121,26,0,31,240,97,2,0,0,0,55,2,5,85,10,0.362,0.545,0.265,143,628,555,84,147,29,0,31,269,94,3,0,2,3,62,3,6,132,15,0.343,0.485,0.309,143,616,540,82,167,26,0,33,292,100,2,1,0,0,72,1,4,120,11,0.394,0.541
巨人,炭谷　銀仁朗,1.0,捕手,33,1987/7/19,181,98,O,右右,京都,0,関西,1,1,1,0.18,56,114,100,4,18,2,0,1,23,7,0,0,3,1,8,2,2,23,3,0.252,0.23,0.262,58,138,126,17,33,4,0,6,55,26,0,0,2,1,7,1,2,28,4,0.309,0.437,0.248,47,135,129,10,32,8,0,0,40,9,0,0,3,0,2,0,1,30,3,0.265,0.31
巨人,テームズ,1.0,外野手,34,1986/11/10,180,106,不明,右左,アメリカ,1,海外,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巨人,亀井　善行,1.0,外野手,38,1982/7/28,178,82,AB,右左,奈良,0,関西,1,1,1,0.255,51,156,141,21,36,7,0,2,49,17,0,1,1,2,11,0,1,21,3,0.31,0.348,0.284,131,503,450,67,128,27,2,13,198,55,9,1,3,5,45,3,0,91,6,0.346,0.44,0.254,123,461,422,47,107,20,0,13,166,49,4,0,0,1,36,2,2,70,6,0.315,0.393
巨人,小林　誠司,1.0,捕手,31,1989/6/7,178,86,O,右右,大阪,0,関西,1,1,1,0.056,10,21,18,1,1,0,0,0,1,0,0,0,1,0,0,0,2,4,0,0.15,0.056,0.244,92,236,213,20,52,6,0,2,64,19,1,0,11,1,7,0,4,48,12,0.28,0.3,0.219,119,313,265,22,58,9,0,2,73,26,0,0,16,1,27,5,4,58,8,0.3,0.275
巨人,ウィーラー,1.0,内野手,34,1987/1/16,178,100,不明,右右,アメリカ,1,海外,1,1,1,0.247,98,288,263,26,65,9,0,12,110,36,3,3,0,1,22,1,2,47,6,0.309,0.418,0.243,117,472,411,53,100,15,0,19,172,67,3,5,0,10,43,0,8,96,22,0.32,0.418,0.269,106,413,368,36,99,15,0,15,159,58,3,1,0,5,33,3,7,91,13,0.337,0.432
巨人,大城　卓三,0.0,捕手,28,1993/2/11,187,90,B,右左,沖縄,0,九州・沖縄,1,1,1,0.27,93,308,274,30,74,10,1,9,113,41,1,0,1,3,30,6,0,82,1,0.339,0.412,0.265,109,329,294,19,78,16,1,6,114,30,0,1,5,1,25,0,4,80,7,0.33,0.388,0.265,83,202,185,19,49,12,0,4,73,17,0,1,2,0,15,3,0,46,3,0.32,0.395
巨人,吉川　尚輝,0.0,内野手,26,1995/2/8,177,78,A,右左,岐阜,0,中部,1,1,1,0.274,112,389,354,47,97,16,2,8,141,32,11,3,2,0,30,4,3,60,6,0.336,0.398,0.39,11,46,41,7,16,1,0,0,17,3,1,2,2,0,3,0,0,4,1,0.432,0.415,0.253,92,355,316,51,80,16,3,4,114,29,11,4,13,2,19,0,5,61,5,0.304,0.361
巨人,重信　慎之介,0.0,外野手,27,1993/4/17,173,74,A,右左,千葉,0,関東,1,1,1,0.256,60,96,90,17,23,5,1,1,33,6,5,1,0,0,6,0,0,33,1,0.302,0.367,0.266,106,174,158,25,42,7,2,2,59,16,14,3,2,3,11,1,0,43,1,0.308,0.373,0.281,60,185,167,24,47,7,5,2,70,13,6,4,6,1,11,0,0,38,1,0.324,0.419
巨人,若林　晃弘,0.0,内野手,27,1993/8/26,180,79,A,右両,東京,0,関東,1,1,1,0.247,76,159,146,22,36,6,1,2,50,14,2,4,3,1,8,0,1,32,6,0.288,0.342,0.239,77,273,234,34,56,9,1,5,82,21,11,2,4,1,32,1,2,51,3,0.335,0.35,0.056,17,19,18,2,1,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0.105,0.056
巨人,松原　聖弥,0.0,外野手,26,1995/1/26,173,74,O,右左,大阪,0,関西,1,0,0,0.263,86,313,278,42,73,11,5,3,103,19,12,2,4,2,29,0,0,71,4,0.33,0.371,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
巨人,石川　慎吾,0.0,外野手,27,1993/4/27,178,80,O,右右,大阪,0,関西,1,1,1,0.244,43,47,45,2,11,1,0,2,18,7,0,0,0,0,2,0,0,12,1,0.277,0.4,0.257,55,76,70,12,18,2,0,4,32,10,0,0,0,0,6,1,0,14,2,0.316,0.457,0.192,17,28,26,1,5,1,1,0,8,0,0,0,0,0,2,0,0,6,1,0.25,0.308
