武将姓,武将名,統率,武勇,知略,内政,外政,戦闘,政治,合計,父親,姓読み,名読み,誕生年,登場年,没年,寿命,義理親,志,戦法,補佐,作戦,気質,野心,母親
八戸,政栄,72,50,62,71,68,122,139,323,-,はちのへ,まさよし,1544年,1559年,1610年,67,-,家名存続,用心,斥候,神出鬼没,家名,5,-
九戸,信仲,56,56,65,47,56,112,103,280,-,くのへ,のぶなか,1514年,1529年,1568年,55,-,所領拡大,足止め,回避,神出鬼没,才覚,11,-
九戸,政実,74,82,65,42,42,156,84,305,九戸信仲,くのへ,まさざね,1536年,1551年,1591年,56,-,天下統一,早駆け,猛攻,本陣斬込,勲功,14,-
九戸,実親,72,68,41,41,38,140,79,260,九戸信仲,くのへ,さねちか,1542年,1557年,1591年,50,-,領地保全,用心,斥候,神出鬼没,勲功,12,-
九戸,康真,51,49,68,43,54,100,97,265,九戸信仲,くのへ,やすざね,1553年,1568年,1594年,42,-,家名存続,足止め,回避,神出鬼没,家名,11,-
大浦,為則,40,41,59,65,63,81,128,268,大浦政信,おおうら,ためのり,1520年,1535年,1567年,48,-,所領拡大,臨戦,万全,囮挑発,才覚,4,-
大浦,為信,88,77,92,80,86,165,166,423,大浦守信,おおうら,ためのぶ,1550年,1565年,1607年,58,大浦為則,不制于天地人,策士,奪力,神出鬼没,実利,15,-
大浦,信枚,65,60,72,77,76,125,153,350,大浦為信,おおうら,のぶひら,1586年,1601年,1631年,46,-,領地保全,急襲,復帰,囮挑発,家名,8,-
沼田,祐光,66,53,82,80,81,119,161,362,-,ぬまた,すけみつ,1539年,1554年,1612年,74,-,家名存続,叱咤,参謀,神出鬼没,実利,7,-
小笠原,信浄,52,58,64,46,53,110,99,273,-,おがさわら,のぶきよ,1532年,1547年,1597年,66,-,所領拡大,臨戦,万全,囮挑発,才覚,4,-
兼平,綱則,60,58,67,58,64,118,122,307,-,かねひら,つなのり,1544年,1559年,1625年,82,-,領地保全,突撃,速攻,全軍突撃,実利,7,-
森岡,信元,61,64,36,32,29,125,61,222,-,もりおか,のぶもと,1556年,1571年,1606年,51,-,領地保全,用心,斥候,神出鬼没,勲功,9,-
浪岡,顕村,34,40,43,61,51,74,112,229,浪岡具運,なみおか,あきむら,1555年,1570年,1602年,48,-,家名存続,気勢崩し,堅固,囮挑発,家名,6,-
斯波,経詮,47,42,66,63,66,89,129,284,斯波詮高,しば,つねあき,1495年,1510年,1559年,65,-,領地保全,足止め,回避,神出鬼没,家名,10,-
斯波,詮真,38,40,54,55,54,78,109,241,斯波経詮,しば,あきざね,1524年,1539年,1578年,55,-,領地保全,気勢崩し,堅固,囮挑発,家名,7,-
斯波,詮直,25,33,29,39,27,58,66,153,斯波詮真,しば,あきなお,1550年,1565年,1619年,70,-,家名存続,臨戦,万全,囮挑発,家名,7,-
猪去,詮義,46,48,50,60,54,94,114,258,斯波詮高,いさり,あきよし,1505年,1520年,1564年,60,-,家名存続,気勢崩し,堅固,囮挑発,家名,6,-
岩清水,義長,55,50,60,42,48,105,90,255,-,いわしみず,よしなが,1544年,1559年,1588年,45,-,所領拡大,臨戦,万全,囮挑発,才覚,4,-
岩清水,義教,45,56,65,51,58,101,109,275,-,いわしみず,よしのり,1547年,1562年,1606年,60,-,領地保全,足止め,回避,神出鬼没,実利,12,-
簗田,詮泰,40,51,61,47,53,91,100,252,-,やなだ,あきやす,1539年,1554年,1593年,55,-,領地保全,足止め,回避,神出鬼没,勲功,10,-
葛西,晴胤,42,45,52,49,49,87,98,237,-,かさい,はるたね,1497年,1512年,1555年,59,-,家名存続,臨戦,万全,囮挑発,家名,6,-
葛西,親信,27,33,38,46,39,60,85,183,葛西晴胤,かさい,ちかのぶ,1513年,1528年,1560年,48,-,所領拡大,臨戦,万全,囮挑発,家名,6,-
葛西,晴信,47,44,51,56,53,91,109,251,葛西晴胤,かさい,はるのぶ,1534年,1549年,1597年,64,-,所領拡大,臨戦,万全,囮挑発,家名,10,-
葛西,俊信,49,66,29,29,24,115,53,197,-,かさい,としのぶ,1579年,1594年,1635年,57,-,領地保全,早駆け,猛攻,本陣斬込,家名,3,-
柏山,明吉,69,61,64,44,52,130,96,290,-,かしやま,あきよし,1530年,1545年,1595年,66,-,家名存続,用心,斥候,神出鬼没,家名,8,-
柏山,明助,71,68,56,56,55,139,111,306,柏山明宗,かしやま,あきすけ,1578年,1590年,1624年,47,-,所領拡大,挟撃巧者,疾走,神出鬼没,才覚,7,-
柏山,明長,56,66,57,30,38,122,68,247,柏山明吉,かしやま,あきなが,1557年,1572年,1586年,30,-,所領拡大,突撃,速攻,全軍突撃,実利,10,-
柏山,明久,57,68,41,26,27,125,53,219,柏山明吉,かしやま,あきひさ,1561年,1576年,1595年,35,-,領地保全,突撃,速攻,全軍突撃,勲功,12,-
米谷,常秀,41,49,44,43,40,90,83,217,-,まいや,つねひで,1535年,1550年,1591年,57,-,家名存続,臨戦,万全,囮挑発,家名,7,-
武鑓,重信,55,58,54,36,42,113,78,245,-,むやり,しげのぶ,1526年,1541年,1591年,66,-,所領拡大,突撃,速攻,全軍突撃,家名,7,-
矢作,重常,46,51,49,40,41,97,81,227,-,やはぎ,しげつね,1555年,1570年,1591年,37,-,領地保全,臨戦,万全,囮挑発,勲功,7,-
大崎,義直,47,46,45,47,43,93,90,228,-,おおさき,よしなお,1506年,1521年,1577年,72,-,家名存続,臨戦,万全,囮挑発,勲功,8,-
大崎,義隆,49,53,39,49,41,102,90,231,大崎義直,おおさき,よしたか,1548年,1563年,1603年,56,-,家名存続,臥薪嘗胆,奪力,本陣斬込,勲功,8,-
一栗,放牛,66,57,70,51,60,123,111,304,-,いちくり,ほうぎゅう,1500年,1515年,1591年,92,-,所領拡大,足止め,回避,神出鬼没,家名,7,-
一栗,高春,60,67,55,32,39,127,71,253,-,いちくり,たかはる,1557年,1572年,1614年,58,-,所領拡大,突撃,速攻,全軍突撃,勲功,11,-
一迫,隆真,37,36,71,55,63,73,118,262,-,いちはさま,たかざね,1549年,1564年,1593年,45,-,領地保全,足止め,回避,神出鬼没,実利,8,-
氏家,吉継,48,52,64,69,68,100,137,301,氏家隆継,うじいえ,よしつぐ,1537年,1552年,1591年,55,-,家名存続,気勢崩し,堅固,囮挑発,勲功,13,-
黒川,晴氏,74,73,66,52,58,147,110,323,-,くろかわ,はるうじ,1523年,1538年,1599年,77,-,所領拡大,急襲,復帰,囮挑発,家名,9,-
四釜,隆秀,57,71,63,53,58,128,111,302,-,しかま,たかひで,1547年,1562年,1596年,50,-,家名存続,臥薪嘗胆,伏兵,本陣斬込,家名,11,-
南条,隆信,73,62,69,34,48,135,82,286,-,なんじょう,たかのぶ,1559年,1574年,1593年,35,-,領地保全,挟撃巧者,疾走,神出鬼没,才覚,3,-
新井田,隆景,37,35,59,51,55,72,106,237,-,にいだ,たかかげ,1573年,1588年,1593年,21,-,家名存続,足止め,回避,神出鬼没,家名,11,-
宮崎,隆親,61,60,51,36,39,121,75,247,-,みやざき,たかちか,1542年,1557年,1596年,55,-,所領拡大,用心,斥候,神出鬼没,実利,4,-
留守,顕宗,34,41,37,66,48,75,114,226,留守景宗,るす,あきむね,1519年,1534年,1586年,68,-,領地保全,激励,堅固,囮挑発,家名,3,-
伊達,政景,65,62,57,59,58,127,117,301,伊達晴宗,だて,まさかげ,1549年,1564年,1607年,59,-,領地保全,挟撃巧者,疾走,神出鬼没,実利,6,-
国分,盛氏,43,46,40,51,43,89,94,223,-,こくぶん,もりうじ,1506年,1521年,1575年,70,-,家名存続,臨戦,万全,囮挑発,家名,7,-
国分,盛顕,29,43,44,37,36,72,73,189,国分盛氏,こくぶん,もりあき,1528年,1543年,1582年,55,-,所領拡大,臨戦,万全,囮挑発,家名,4,-
伊達,盛重,30,36,32,40,31,66,71,169,伊達晴宗,だて,もりしげ,1553年,1568年,1615年,63,-,領地保全,臨戦,万全,囮挑発,実利,10,-
相馬,盛胤,78,77,62,56,59,155,115,332,相馬顕胤,そうま,もりたね,1529年,1544年,1601年,73,-,所領拡大,挟撃巧者,疾走,神出鬼没,勲功,7,-
相馬,義胤,72,66,57,51,53,138,104,299,相馬盛胤,そうま,よしたね,1548年,1563年,1635年,88,-,所領拡大,奮闘,強撃,全軍突撃,勲功,5,-
泉田,胤清,61,48,39,38,35,109,73,221,-,いずみだ,たねきよ,1563年,1578年,1602年,40,-,所領拡大,用心,斥候,神出鬼没,家名,6,-
江井,胤治,33,36,33,66,45,69,111,213,-,えねい,たねはる,1504年,1519年,1588年,85,-,家名存続,激励,堅固,囮挑発,才覚,4,-
佐藤,好信,43,60,46,56,49,103,105,254,-,さとう,よしのぶ,1514年,1529年,1563年,50,-,領地保全,用心,斥候,神出鬼没,才覚,5,-
佐藤,為信,62,56,63,49,56,118,105,286,佐藤好信,さとう,ためのぶ,1543年,1558年,1591年,49,-,家名存続,用心,斥候,神出鬼没,家名,10,-
水谷,胤重,62,58,48,68,58,120,126,294,-,みずたに,たねしげ,1538年,1553年,1606年,69,-,所領拡大,臨戦,万全,囮挑発,勲功,4,-
岩城,重隆,65,58,67,68,69,123,137,327,岩城由隆,いわき,しげたか,1500年,1515年,1569年,70,-,家名存続,用心,斥候,神出鬼没,家名,10,-
佐竹,貞隆,42,45,51,55,51,87,106,244,佐竹義重,さたけ,さだたか,1583年,1598年,1620年,38,-,領地保全,臨戦,万全,囮挑発,勲功,5,-
船尾,昭直,57,63,65,50,57,120,107,292,-,ふなお,あきなお,1538年,1553年,1607年,70,-,家名存続,足止め,回避,神出鬼没,実利,8,-
田村,隆顕,67,57,63,71,68,124,139,326,田村義顕,たむら,たかあき,1489年,1504年,1574年,86,-,領地保全,叱咤,伏兵,神出鬼没,家名,11,-
小峰,義親,53,50,65,51,58,103,109,277,白河義綱,こみね,よしちか,1541年,1556年,1626年,86,-,領地保全,足止め,回避,神出鬼没,才覚,13,-
河東田,清重,60,68,54,66,60,128,126,308,-,かとうだ,きよしげ,1542年,1557年,1606年,65,-,領地保全,突撃,速攻,全軍突撃,実利,4,-
蘆名,盛氏,83,70,86,86,84,153,170,409,蘆名盛舜,あしな,もりうじ,1521年,1536年,1580年,60,-,所領拡大,采配,合流,神出鬼没,家名,11,-
蘆名,盛興,61,53,43,53,46,114,99,256,蘆名盛氏,あしな,もりおき,1547年,1562年,1575年,29,-,家名存続,臨戦,万全,囮挑発,才覚,8,-
二階堂,盛義,44,47,53,68,61,91,129,273,二階堂輝行,にかいどう,もりよし,1532年,1547年,1581年,50,-,家名存続,気勢崩し,堅固,囮挑発,家名,5,-
二階堂,盛隆,47,61,54,52,51,108,103,265,二階堂盛義,にかいどう,もりたか,1561年,1576年,1584年,24,-,家名存続,用心,斥候,神出鬼没,勲功,11,-
佐竹,義広,50,54,39,52,43,104,95,238,佐竹義重,さたけ,よしひろ,1576年,1591年,1631年,56,-,家名存続,臨戦,万全,囮挑発,家名,7,-
針生,盛信,34,35,45,50,44,69,94,208,針生盛秋,はりゅう,もりのぶ,1553年,1568年,1625年,73,-,所領拡大,気勢崩し,堅固,囮挑発,実利,10,-
猪苗代,盛国,63,47,63,50,56,110,106,279,-,いなわしろ,もりくに,1536年,1551年,1594年,59,-,領地保全,用心,斥候,神出鬼没,実利,13,-
猪苗代,盛胤,57,67,46,40,39,124,79,249,猪苗代盛国,いなわしろ,もりたね,1565年,1580年,1641年,77,-,領地保全,突撃,速攻,全軍突撃,勲功,2,-
金上,盛備,52,54,59,80,85,106,165,330,-,かながみ,もりはる,1527年,1542年,1589年,63,-,家名存続,気勢崩し,堅固,囮挑発,実利,4,-
松本,氏輔,46,51,50,54,50,97,104,251,-,まつもと,うじすけ,1525年,1540年,1575年,51,-,所領拡大,逆撫で,地利,囮挑発,家名,9,-
富田,氏実,31,36,47,71,59,67,130,244,-,とみた,うじざね,1541年,1556年,1591年,51,-,家名存続,気勢崩し,堅固,囮挑発,実利,11,-
富田,隆実,60,74,37,30,28,134,58,229,富田氏実,とみた,たかざね,1569年,1584年,1594年,26,-,領地保全,突撃,速攻,全軍突撃,実利,5,-
佐瀬,種常,45,51,52,67,60,96,127,275,-,させ,たねつね,1515年,1530年,1589年,75,-,家名存続,気勢崩し,堅固,囮挑発,勲功,6,-
平田,舜範,42,44,50,48,46,86,94,230,-,ひらた,きよのり,1519年,1534年,1583年,65,-,所領拡大,臨戦,万全,囮挑発,才覚,7,-
平田,範重,62,66,43,33,33,128,66,237,平田舜範,ひらた,のりしげ,1555年,1570年,1594年,40,-,領地保全,突撃,速攻,全軍突撃,才覚,5,-
大内,定綱,52,77,64,39,48,129,87,280,大内義綱,おおうち,さだつな,1546年,1561年,1610年,65,-,領地保全,奮闘,猛攻,全軍突撃,家名,11,-
安東,愛季,80,70,80,86,80,150,166,396,安東舜季,あんとう,ちかすえ,1539年,1554年,1587年,49,-,斗星北天,叱咤,名将,神出鬼没,才覚,10,-
安東,実季,69,55,60,51,55,124,106,290,安東愛季,あんとう,さねすえ,1576年,1587年,1659年,84,-,所領拡大,挟撃巧者,疾走,神出鬼没,芸道,8,-
安東,茂季,46,56,54,48,49,102,97,253,安東舜季,あんとう,しげすえ,1540年,1555年,1579年,40,-,所領拡大,突撃,速攻,全軍突撃,家名,6,-
安東,通季,43,48,38,46,39,91,85,214,安東茂季,あんとう,みちすえ,1564年,1579年,1594年,31,-,所領拡大,臨戦,万全,囮挑発,勲功,11,-
豊島,重村,29,42,43,40,38,71,78,192,-,としま,しげむら,1521年,1536年,1575年,55,-,家名存続,臨戦,万全,囮挑発,勲功,12,-
南部,季賢,30,36,60,70,66,66,136,262,-,なんぶ,すえかた,1540年,1555年,1594年,55,-,所領拡大,気勢崩し,堅固,囮挑発,勲功,6,-
浅利,則祐,45,51,51,47,46,96,93,240,浅利則頼,あさり,のりすけ,1523年,1538年,1562年,40,-,所領拡大,臨戦,万全,囮挑発,勲功,5,-
浅利,勝頼,39,44,58,51,53,83,104,245,浅利則頼,あさり,かつより,1529年,1544年,1583年,55,-,所領拡大,足止め,回避,神出鬼没,勲功,8,-
浅利,頼平,36,47,34,52,39,83,91,208,浅利勝頼,あさり,よりひら,1554年,1569年,1598年,45,-,所領拡大,気勢崩し,堅固,囮挑発,実利,9,-
戸沢,道盛,60,54,55,48,50,114,98,267,-,とざわ,みちもり,1524年,1529年,1604年,81,-,所領拡大,用心,斥候,神出鬼没,家名,7,-
戸沢,盛重,31,36,66,46,54,67,100,233,戸沢道盛,とざわ,もりしげ,1551年,1566年,1592年,42,-,領地保全,足止め,回避,神出鬼没,家名,8,-
戸沢,盛安,84,90,80,55,62,174,117,371,戸沢道盛,とざわ,もりやす,1566年,1581年,1590年,25,-,夜叉九郎の武,一蓮托生,闇討,全軍突撃,勲功,7,-
戸沢,政盛,71,67,55,68,62,138,130,323,戸沢盛安,とざわ,まさもり,1585年,1600年,1648年,64,-,家名存続,急襲,復帰,囮挑発,実利,6,-
戸沢,政重,46,48,71,51,61,94,112,277,-,とざわ,まさしげ,1493年,1508年,1578年,86,-,所領拡大,足止め,回避,神出鬼没,家名,8,-
本堂,忠親,40,40,57,48,51,80,99,236,-,ほんどう,ただちか,1506年,1521年,1599年,94,-,家名存続,足止め,回避,神出鬼没,実利,8,-
戸蒔,義広,43,51,48,41,41,94,82,224,-,とまき,よしひろ,1556年,1571年,1600年,45,-,領地保全,臨戦,万全,囮挑発,勲功,6,-
小野寺,輝道,65,62,68,58,64,127,122,317,小野寺稙道,おのでら,てるみち,1534年,1546年,1597年,64,-,家名存続,叱咤,伏兵,神出鬼没,勲功,10,-
鮭延,秀綱,78,78,76,54,60,156,114,346,鮭延貞綱,さけのべ,ひでつな,1562年,1577年,1646年,85,-,所領拡大,挟撃巧者,地利,神出鬼没,仁義,8,-
大宝寺,義氏,62,65,30,25,24,127,49,206,大宝寺義増,だいほうじ,よしうじ,1551年,1566年,1583年,33,-,所領拡大,突撃,速攻,全軍突撃,実利,12,-
最上,義守,40,39,36,45,37,79,82,197,-,もがみ,よしもり,1521年,1522年,1590年,70,-,所領拡大,足止め,回避,神出鬼没,家名,10,-
最上,義光,87,92,91,95,81,179,176,446,最上義守,もがみ,よしあき,1546年,1561年,1614年,69,-,虎将勇躍,神算鬼謀,名将,大将先駆,家名,11,-
最上,家親,42,56,37,48,39,98,87,222,最上義光,もがみ,いえちか,1582年,1597年,1617年,36,-,家名存続,突撃,速攻,全軍突撃,家名,10,-
最上,義時,30,36,32,38,29,66,67,165,最上義守,もがみ,よしとき,1550年,1565年,1574年,25,-,家名存続,臨戦,万全,囮挑発,家名,8,-
氏家,定直,57,50,75,68,73,107,141,323,-,うじいえ,さだなお,1512年,1527年,1571年,60,-,領地保全,足止め,回避,神出鬼没,仁義,5,-
氏家,守棟,65,58,76,60,70,123,130,329,氏家定直,うじいえ,もりむね,1534年,1549年,1596年,63,-,家名存続,叱咤,伏兵,神出鬼没,家名,6,-
成沢,光氏,69,70,60,47,52,139,99,298,成沢道忠,なりさわ,みつうじ,1568年,1583年,1627年,60,-,所領拡大,早駆け,猛攻,本陣斬込,勲功,6,-
北楯,利長,28,29,62,89,74,57,163,282,-,きただて,としなが,1548年,1563年,1625年,78,-,領地保全,激励,堅固,囮挑発,才覚,5,-
志村,光安,80,84,80,59,69,164,128,372,-,しむら,あきやす,1565年,1580年,1609年,45,-,領地保全,臥薪嘗胆,堅固,本陣斬込,仁義,4,-
楯岡,満茂,69,60,63,45,52,129,97,289,-,たておか,みつしげ,1556年,1571年,1639年,84,-,家名存続,用心,斥候,神出鬼没,家名,7,-
新関,久正,41,40,46,74,60,81,134,261,-,にいぜき,ひさまさ,1582年,1597年,1642年,61,-,所領拡大,激励,堅固,囮挑発,才覚,5,-
延沢,満延,67,84,49,30,34,151,64,264,-,のべさわ,みつのぶ,1544年,1559年,1591年,48,-,領地保全,早駆け,猛攻,本陣斬込,仁義,10,-
伊達,稙宗,79,64,88,90,98,143,188,419,伊達尚宗,だて,たねむね,1488年,1503年,1565年,78,-,洞の主,気勢崩し,技巧,囮挑発,実利,11,-
伊達,晴宗,81,81,80,83,78,162,161,403,伊達稙宗,だて,はるむね,1519年,1534年,1577年,59,-,剛腕独行,逆撫で,奪力,囮挑発,才覚,12,-
伊達,輝宗,69,60,54,74,65,129,139,322,伊達晴宗,だて,てるむね,1544年,1559年,1585年,42,-,領地保全,太鼓持ち,万全,囮挑発,家名,6,-
伊達,政宗,96,87,86,95,81,183,176,445,伊達輝宗,だて,まさむね,1567年,1582年,1636年,70,-,昇り竜,独眼竜,名将,双頭の龍,野心,14,-
伊達,実元,55,57,56,61,58,112,119,287,伊達稙宗,だて,さねもと,1527年,1542年,1587年,61,-,所領拡大,急襲,復帰,囮挑発,勲功,8,-
伊達,成実,85,92,81,55,61,177,116,374,伊達実元,だて,しげざね,1568年,1582年,1646年,79,-,天下統一,男伊達,強撃,全軍突撃,仁義,7,-
遠藤,基信,34,42,74,78,84,76,162,312,-,えんどう,もとのぶ,1532年,1547年,1585年,54,-,所領拡大,叱咤,伏兵,神出鬼没,家名,1,-
鬼庭,左月斎,78,75,82,45,47,153,92,327,-,おににわ,さげつさい,1513年,1528年,1585年,73,-,天下統一,男伊達,堅固,全軍突撃,仁義,4,-
鬼庭,綱元,76,70,83,68,70,146,138,367,鬼庭左月斎,おににわ,つなもと,1549年,1564年,1640年,92,-,領地保全,挟撃巧者,地利,神出鬼没,才覚,6,-
片倉,小十郎,86,80,92,82,87,166,169,427,-,かたくら,こじゅうろう,1557年,1572年,1615年,59,-,家名存続,采配,堅固,双頭の龍,仁義,5,-
片倉,重長,71,78,62,56,59,149,115,326,片倉小十郎,かたくら,しげなが,1584年,1599年,1659年,76,-,所領拡大,死兵,猛攻,全軍突撃,勲功,5,-
川村,重吉,23,27,34,87,59,50,146,230,-,かわむら,しげよし,1575年,1590年,1648年,74,-,家名存続,激励,堅固,囮挑発,勲功,3,-
小梁川,宗朝,52,66,61,53,57,118,110,289,-,こやながわ,むねとも,1469年,1484年,1565年,97,-,領地保全,突撃,速攻,全軍突撃,家名,5,-
小梁川,宗秀,57,56,54,57,55,113,112,279,小梁川宗朝,こやながわ,むねひで,1510年,1525年,1570年,61,-,家名存続,臨戦,万全,囮挑発,家名,9,-
桑折,貞長,44,44,75,75,76,88,151,314,-,こおり,さだなが,1506年,1521年,1577年,72,-,所領拡大,足止め,回避,神出鬼没,実利,8,-
後藤,信康,63,75,66,29,40,138,69,273,-,ごとう,のぶやす,1555年,1570年,1614年,60,-,所領拡大,死兵,復帰,全軍突撃,才覚,8,-
白石,宗実,69,67,58,46,50,136,96,290,-,しろいし,むねざね,1553年,1568年,1599年,47,-,領地保全,用心,斥候,神出鬼没,才覚,7,-
鈴木,元信,24,50,54,83,68,74,151,279,-,すずき,もとのぶ,1555年,1570年,1620年,66,-,家名存続,激励,参謀,囮挑発,家名,7,-
中野,宗時,32,32,76,78,84,64,162,302,-,なかの,むねとき,1503年,1518年,1575年,73,-,所領拡大,叱咤,奪力,神出鬼没,家名,12,-
牧野,久仲,26,26,71,77,76,52,153,276,中野宗時,まきの,ひさなか,1532年,1547年,1575年,44,-,家名存続,気勢崩し,堅固,囮挑発,実利,12,-
支倉,常長,29,54,51,67,59,83,126,260,-,はせくら,つねなが,1571年,1586年,1622年,52,-,領地保全,死兵,万全,囮挑発,実利,6,-
原田,宗時,72,77,62,34,41,149,75,286,-,はらだ,むねとき,1565年,1580年,1593年,29,-,家名存続,突撃,速攻,全軍突撃,才覚,6,-
屋代,景頼,59,65,81,38,58,124,96,301,-,やしろ,かげより,1563年,1578年,1608年,46,-,所領拡大,足止め,回避,神出鬼没,才覚,11,-
佐竹,義昭,75,59,73,78,81,134,159,366,佐竹義篤,さたけ,よしあき,1531年,1545年,1565年,35,-,天下統一,逆撫で,地利,囮挑発,実利,9,-
佐竹,義重,90,93,84,85,91,183,176,443,佐竹義昭,さたけ,よししげ,1547年,1562年,1612年,66,-,坂東太郎,鬼義重,猛攻,全軍突撃,実利,9,-
佐竹,義宣,78,70,77,83,81,148,164,389,佐竹義重,さたけ,よしのぶ,1570年,1585年,1633年,64,-,家名存続,采配,猛攻,囮挑発,家名,7,-
佐竹,義堅,49,51,39,58,46,100,104,243,-,さたけ,よしかた,1518年,1533年,1571年,54,-,所領拡大,気勢崩し,堅固,囮挑発,家名,5,-
佐竹,義久,74,67,64,74,71,141,145,350,佐竹義堅,さたけ,よしひさ,1554年,1569年,1601年,48,-,家督継承,用心,斥候,神出鬼没,実利,6,-
佐竹,義廉,49,47,48,60,53,96,113,257,-,さたけ,よしかど,1506年,1521年,1570年,65,-,領地保全,臨戦,万全,囮挑発,実利,7,-
佐竹,義斯,60,56,52,63,58,116,121,289,佐竹義廉,さたけ,よしつな,1538年,1553年,1587年,50,-,家名存続,気勢崩し,堅固,囮挑発,家名,5,-
佐竹,義憲,44,45,56,56,55,89,111,256,佐竹義斯,さたけ,よしのり,1570年,1585年,1607年,38,-,所領拡大,気勢崩し,堅固,囮挑発,才覚,8,-
梅津,政景,41,36,53,89,67,77,156,286,梅津道金,うめづ,まさかげ,1581年,1596年,1633年,53,-,家名存続,激励,堅固,囮挑発,実利,5,-
岡本,禅哲,26,27,65,80,88,53,168,286,-,おかもと,ぜんてつ,1524年,1539年,1583年,60,-,領地保全,足止め,参謀,囮挑発,才覚,6,-
岡本,顕逸,23,29,68,72,71,52,143,263,岡本禅哲,おかもと,けんいつ,1559年,1574年,1596年,38,-,家名存続,足止め,万全,囮挑発,才覚,7,-
小貫,頼久,40,45,60,67,65,85,132,277,-,おぬき,よりひさ,1544年,1559年,1603年,60,-,所領拡大,気勢崩し,堅固,囮挑発,実利,6,-
小野崎,従通,29,38,52,42,44,67,86,205,-,おのざき,つぐみち,1562年,1577年,1630年,69,-,領地保全,臨戦,万全,囮挑発,勲功,11,-
車,斯忠,39,60,66,32,45,99,77,242,-,くるま,つなただ,1552年,1567年,1602年,51,-,領地保全,足止め,回避,神出鬼没,勲功,12,-
渋江,内膳,51,35,68,87,76,86,163,317,-,しぶえ,ないぜん,1574年,1589年,1614年,41,-,家名存続,気勢崩し,堅固,囮挑発,家名,3,-
和田,昭為,57,42,65,75,73,99,148,312,-,わだ,あきため,1534年,1549年,1608年,75,-,所領拡大,気勢崩し,堅固,囮挑発,家名,8,-
江戸,忠通,62,64,57,58,57,126,115,298,-,えど,ただみち,1507年,1522年,1564年,58,-,領地保全,臨戦,万全,囮挑発,勲功,10,-
真壁,氏幹,69,89,78,28,30,158,58,294,真壁久幹,まかべ,うじもと,1550年,1565年,1622年,73,-,領地保全,死兵,猛攻,全軍突撃,芸道,11,-
大掾,貞国,43,46,43,46,41,89,87,219,大掾慶幹,だいじょう,さだくに,1548年,1563年,1577年,30,-,家名存続,臨戦,万全,囮挑発,実利,8,-
大掾,清幹,39,48,34,37,29,87,66,187,大掾貞国,だいじょう,きよもと,1573年,1588年,1590年,18,-,所領拡大,臨戦,万全,囮挑発,実利,7,-
小田,氏治,51,47,45,46,42,98,88,231,小田政治,おだ,うじはる,1531年,1546年,1601年,71,-,不死鳥が如く,臨戦,万全,囮挑発,家名,7,-
小田,友治,26,29,53,54,53,55,107,215,小田氏治,おだ,ともはる,1548年,1563年,1604年,57,-,領地保全,気勢崩し,堅固,囮挑発,家名,8,-
小田,守治,36,41,40,47,41,77,88,205,小田氏治,おだ,もりはる,1557年,1572年,1610年,54,-,領地保全,気勢崩し,堅固,囮挑発,家名,7,-
